[29/05/2016:00:01:05 +0200] 20 0:0:0:0:0:0:0:1 200 /js/out/goog/debug/error.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 24 0:0:0:0:0:0:0:1 200 /js/out/goog/string/stringbuffer.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 23 0:0:0:0:0:0:0:1 200 /js/out/goog/asserts/asserts.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/dom/nodetype.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 15 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/engine.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 19 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/util.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 21 127.0.0.1 200 /js/out/goog/array/array.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 24 0:0:0:0:0:0:0:1 200 /js/out/cljs/core.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 20 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/platform.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 24 0:0:0:0:0:0:0:1 200 /js/out/goog/labs/useragent/browser.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 18 0:0:0:0:0:0:0:1 200 /js/out/goog/useragent/useragent.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 17 0:0:0:0:0:0:0:1 200 /js/out/goog/useragent/product.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 19 127.0.0.1 200 /js/out/goog/structs/structs.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 20 0:0:0:0:0:0:0:1 200 /js/out/goog/functions/functions.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 23 0:0:0:0:0:0:0:1 200 /js/out/goog/math/math.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 27 0:0:0:0:0:0:0:1 200 /js/out/goog/iter/iter.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/structs/map.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 26 0:0:0:0:0:0:0:1 200 /js/out/goog/uri/utils.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 24 127.0.0.1 200 /js/out/goog/uri/uri.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 23 0:0:0:0:0:0:0:1 200 /js/out/cljs/core/async/impl/protocols.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
[29/05/2016:00:01:05 +0200] 30 0:0:0:0:0:0:0:1 200 /js/out/goog/debug/entrypointregistry.js nil nil :http :get Mozilla/5.0 (Windows NT 10.0; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0 
